country	fiscal	ratecut	macrofin	othermonetary	bopgdp	otherbop	totalcases	medage	gdppercapitaconstant2010us	currenthealthexpenditureofgdpshx	hospitalbed	stringency	infectionrate	CESI_INDEX
Ireland	2.57778	0	7.31092	1	0	0	2910	38	76880.8	7.38	2.8	67	0.0005893	0.8896643
Israel	1.1	0	3.5	1	0	1	4831	30	34745.8	7.31	3.1	43	0.0005581	-0.2803456
Italy	1.7	0	7.31092	1	0	0	101739	47	35431.9	8.94	3.4	81	0.0016827	0.7483215
Jamaica	1.4	0	0	1	0	0	36	31	4855.26	6.07	1.7		0.0000122	-0.308965
Japan	4.9	0	0.3	1	0	0	1953	48	48919.8	10.93	13.4	62	0.0000154	0.2960202
Jordan	0	37.5	1.83372	1	0	0	268	24	3266.75	5.47	1.4	57	0.0000263	0.396921
Kazakhstan	3.44973	-29.7297	0	1	0	1	336	31	11165.5	3.53	6.7		0.0000179	-0.9227274
Kenya	0	15.5844	0	1	0	0	50	20	1202.13	4.55	1.4	71	9.30E-07	-0.252529
Kosovo	0.079743	0	0	1	0	0								-0.5215575
Kuwait	1.4	45.4545	0.022521	1	0	0	289	37	33112.1	3.9	2		0.0000677	0.5162607
Kyrgyzstan	0.1	-17.6471	0	1	0	1	107	26	1087.2	6.63	4.5		0.0000164	-1.243579
Laos	0.005847	0	0	1	0	1	9	24	1785.58	2.36	1.5		1.24E-06	-0.9395644
Latvia	3.3	0	7.31092	1	0	0	398	44	16269	6.24	5.8		0.000211	1.005959
Lebanon	0	0	0	1	0	0	463	30	6249.77	8.02	2.9		0.0000678	-0.5343979
Lesotho	0	16	0	1	0	0								-0.2450125
Liberia	0	0	0	0	0	0	3	19	541.271	9.62	0.8		5.93E-07	-1.616932
Lithuania	5.3	0	7.31092	1	0	0	533	45	17708.5	6.67	7.3		0.0001958	1.328006
Luxembourg	15.6	0	7.31092	1	0	0	1988	40	110742	6.16	4.8		0.0031758	2.986548
Madagascar	0.032174	0	0.3	1	0	1	46	20	490.097	6	0.2		1.66E-06	-0.8939222
Malawi	0.25	0	0	0	0	0								-1.576676
Malaysia	16.2225	9.09091	0.2	1	0	0	2766	30	12120.1	3.8	1.9	86	0.0000855	2.269828
Maldives	2.8	0	0	1	0	1	18	30	8033.33	10.61	4.3		0.0000333	-0.4896401
Mali	0.06	0	0	1	0	0	25							-0.5247365
Malta	12.3	0	13.3109	1	0	0	156	43	28594.3	9.3	4.7		0.0003533	3.28323
Mauritania	0.13	25.4274	0	1	0	0	6	20	1334.46	4.24	0.4		1.29E-06	-0.0535708
Mauritius	1.38	14.9254	2	1	0	1	143	37	10578.6	5.75	3.4		0.0001124	-0.1723247
Mexico	0.7	7.14286	0.6	1	0	1	1094	29	10403.5	5.47	1.5	67	8.49E-06	-0.6157936
Moldova	0	40.9091	0	1	0	0	298	38	2668.66	8.98	5.8		0.0000739	0.205508
Mongolia	0.03	9.09091	0.8	1	0	0	12	28	4210.04	3.81	7		3.66E-06	-0.2547358
Montenegro	0.018437	0	0	1	0	1	105	39	8244.13	7.64	4		0.0001672	-0.9375371
Morocco	0.837521	12.5	0	1	0	1	574	30	3357.36	5.84	1.1		0.0000156	-0.579563
Mozambique	0.1	0	0	1	0	0	8	18	591.439	5.07	0.7		2.56E-07	-0.5182956
Myanmar	0.1	18.75	0	1	0	0	14	29	1571.91	5.09	0.9	48	2.57E-07	-0.179172
Namibia	0	16	0	0	0	0	11	22	6044.53	9.12	2.7		4.33E-06	-1.327546
Nepal	0	0	0	1	0	0	5	25	817.447	6.29	0.3		1.72E-07	-0.5343979
Netherlands	2.3	0	7.31092	1	0	0	11750	43	55022.9	10.36	4.7	81	0.0006857	0.8449355
New Zealand	5.4	75	8.86145	1	0	0	647	38	37997.4	9.22	2.8	14	0.0001342	2.91459
Nicaragua	0	7.5	0	1	0	0	4	26	1860.44	8.75	0.9	0	6.04E-07	-0.3987485
Niger	0.02	0	0	1	0	0	27	15	403.485	6.23	0.3		1.12E-06	-0.5311775
Nigeria	0.004636	0	2.4	1	0	1	131	18	2396.31	3.65	0.5	38	6.35E-07	-0.6085358
North Macedonia	0.2	12.5	0	1	0	1	285	39	5394.29	6.34	4.4		0.0001368	-0.6822188
Norway	2.2	83.3333	0	1	0	0	4465	40	92077.6	10.5	3.9	76	0.0008236	1.32707
Oman	-2.5	60	25.0941	1	0	0	192	31	15796.8	4.29	1.6		0.0000376	3.611471
Pakistan	2.54412	16.9811	0	1	0	0	1865	23	1197.84	2.75	0.6	93	8.44E-06	0.1823967
Panama	3.25	0	2	1	0	0	1075					90		0.2649481
Papua New Guinea	0.05	0	0	0	0	0	1	22	2416.93	1.98	4.02		1.12E-07	-1.60888
Paraguay	6.5	18.75	0	0	0	0	65	26	5396.48	8.02	1.3		9.11E-06	-0.2311552
Peru	0.78	44.4444	0	1	0.9	0	950	31	6453.56	5.14	1.6		0.0000288	0.1368945
Philippines	0.15	18.75	1.6	1	0	0	2084	26	3021.99	4.39	1		0.000019	0.0496949
Poland	6.5	33.3333	0	1	0	0	2132	42	16659.3	6.52	6.5	67	0.0000563	1.115141
Portugal	4.7	0	7.31092	1	0	0	6408	46	23994.7	9.08	3.4	43	0.0006284	1.231392
Qatar	13	43.7255	1.43342	1	0	0	693	32	63260.6	3.08	1.2	95	0.0002405	2.547579
Romania	3	20	0	1	0	0	2109	43	11532.1	4.98	6.3	86	0.0001096	0.3104044
Russia	0.3	0	0.387057	1	0	0	2337	40	11729.1	5.27	8.2	52	0.000016	-0.4326731
Rwanda	1.5	0	0	1	0	0	70	20	824.519	6.76	1.6		5.40E-06	-0.2928627
San Marino	0	0	0	1	0	0	230			6.4	3.8		0.0067785	-0.5343979
Saudi Arabia	0.8	63.4921	1.9	1	0	0	1453	32	20819.7	5.74	2.7		0.0000417	1.004994
Senegal	7	0	0	1	0	0	162	19	1546.52	5.51	0.3		9.68E-06	0.5927666
Serbia	1	22.2222	0	1	0	0	785	42	6886.5	9.14	5.7	52	0.0000898	0.0285497
